
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.4)

2024-03-25T22:32:44.691+03:00  INFO 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Starting SeverstalApplication using Java 22 with PID 23628 (D:\repos\hackathon\severstal\target\classes started by rE in D:\repos\hackathon\severstal)
2024-03-25T22:32:44.692+03:00 DEBUG 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Running with Spring Boot v3.2.4, Spring v6.1.5
2024-03-25T22:32:51.299+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#11: https://www.tender.pro/api/landings/etp?page=11&tender_name=Труба&
2024-03-25T22:32:51.299+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#12: https://www.tender.pro/api/landings/etp?page=12&tender_name=Труба&
2024-03-25T22:32:51.299+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#14: https://www.tender.pro/api/landings/etp?page=14&tender_name=Труба&
2024-03-25T22:32:51.299+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#13: https://www.tender.pro/api/landings/etp?page=13&tender_name=Труба&
2024-03-25T22:32:53.820+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#28: https://www.tender.pro/api/landings/etp?page=28&tender_name=Труба&
2024-03-25T22:32:53.819+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#22: https://www.tender.pro/api/landings/etp?page=22&tender_name=Труба&
2024-03-25T22:32:53.820+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#29: https://www.tender.pro/api/landings/etp?page=29&tender_name=Труба&
2024-03-25T22:32:53.819+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#25: https://www.tender.pro/api/landings/etp?page=25&tender_name=Труба&
2024-03-25T22:32:53.819+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#21: https://www.tender.pro/api/landings/etp?page=21&tender_name=Труба&
2024-03-25T22:32:53.819+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#26: https://www.tender.pro/api/landings/etp?page=26&tender_name=Труба&
2024-03-25T22:32:53.819+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#23: https://www.tender.pro/api/landings/etp?page=23&tender_name=Труба&
2024-03-25T22:32:53.820+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#27: https://www.tender.pro/api/landings/etp?page=27&tender_name=Труба&
2024-03-25T22:32:53.819+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#20: https://www.tender.pro/api/landings/etp?page=20&tender_name=Труба&
2024-03-25T22:32:53.819+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#24: https://www.tender.pro/api/landings/etp?page=24&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#39: https://www.tender.pro/api/landings/etp?page=39&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#36: https://www.tender.pro/api/landings/etp?page=36&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#38: https://www.tender.pro/api/landings/etp?page=38&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#33: https://www.tender.pro/api/landings/etp?page=33&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#30: https://www.tender.pro/api/landings/etp?page=30&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#35: https://www.tender.pro/api/landings/etp?page=35&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#34: https://www.tender.pro/api/landings/etp?page=34&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#31: https://www.tender.pro/api/landings/etp?page=31&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#37: https://www.tender.pro/api/landings/etp?page=37&tender_name=Труба&
2024-03-25T22:32:56.223+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#32: https://www.tender.pro/api/landings/etp?page=32&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#46: https://www.tender.pro/api/landings/etp?page=46&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#41: https://www.tender.pro/api/landings/etp?page=41&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#45: https://www.tender.pro/api/landings/etp?page=45&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#49: https://www.tender.pro/api/landings/etp?page=49&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-3] Tender Pro Worker                        : Parsing page#44: https://www.tender.pro/api/landings/etp?page=44&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-1] Tender Pro Worker                        : Parsing page#47: https://www.tender.pro/api/landings/etp?page=47&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#48: https://www.tender.pro/api/landings/etp?page=48&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-9] Tender Pro Worker                        : Parsing page#40: https://www.tender.pro/api/landings/etp?page=40&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#43: https://www.tender.pro/api/landings/etp?page=43&tender_name=Труба&
2024-03-25T22:32:58.285+03:00  INFO 23628 --- [severstal] [pool-4-thread-6] Tender Pro Worker                        : Parsing page#42: https://www.tender.pro/api/landings/etp?page=42&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-8] Tender Pro Worker                        : Parsing page#53: https://www.tender.pro/api/landings/etp?page=53&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-4] Tender Pro Worker                        : Parsing page#54: https://www.tender.pro/api/landings/etp?page=54&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-2] Tender Pro Worker                        : Parsing page#50: https://www.tender.pro/api/landings/etp?page=50&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [ool-4-thread-10] Tender Pro Worker                        : Parsing page#57: https://www.tender.pro/api/landings/etp?page=57&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-7] Tender Pro Worker                        : Parsing page#55: https://www.tender.pro/api/landings/etp?page=55&tender_name=Труба&
2024-03-25T22:33:00.545+03:00  INFO 23628 --- [severstal] [pool-4-thread-5] Tender Pro Worker                        : Parsing page#52: https://www.tender.pro/api/landings/etp?page=52&tender_name=Труба&
